bedcount,bedcount_total,Daily,CareProviderLocation,0,223
pansi,pansi_pred_pop_challenging_behaviour_aged_18_64_perc_change,5 years,LA-Regional,-4.88,21.35
pansi,pansi_pred_pop_early_dem_aged_30_64,5 years,LA-Regional,0,2809
pansi,pansi_pred_pop_early_dem_aged_30_64_perc_change,5 years,LA-Regional,-11.9,45
perc_18_64,perc_18_64,Yearly,LA-National-Regional,52.5,84.9
perc_65over,perc_65over,Yearly,LA-National-Regional,5.8,30.4
perc_75over,perc_75over,Yearly,LA-National-Regional,2.3,16
perc_85over,perc_85over,Yearly,LA-National-Regional,0.6,4.4
perc_general_health,perc_general_health,Census,LA-National-Regional,2.7,9.1
perc_household_ownership,perc_household_ownership,Census,LA-National-Regional,7.8,45.8
perc_households_deprivation_deprived,perc_households_deprivation_deprived,Census,LA-National-Regional,0,0.7
perc_households_one_person,perc_households_one_person,Census,LA-National-Regional,15,57.4
perc_population_disability,perc_population_disability,Census,LA-National-Regional,10.5,24.4
perc_unpaid_care_provider,perc_unpaid_care_provider,Census,LA-National-Regional,5.7,11.8
total_population,total_population,Yearly,LA-National-Regional,2229,57690323
